TABLA                                              |     TAMAÑO (MB)
----------------------------------------------------------------------
orchestrator_pendingcontenttask                    |        32613.56
content_automation_generatedcontentchunk           |          718.95
orchestrator_generatedcontentchunk                 |          586.00
contents_contentmaterial                           |          537.80
academic_structure_subject                         |           57.16
orchestrator_automationsettings                    |           38.06
content_automation_pendingcontenttask              |           10.58
chat_chatroom                                      |            7.19
academic_chat_academicchatlink                     |            4.38
contents_contentcopy                               |            3.58
academic_structure_contenthashfamily               |            2.30
auth_group                                         |            1.80
assessment_question                                |            1.53
announcements_announcement                         |            0.44
contents_contentmaterial_subject                   |            0.20
django_admin_log                                   |            0.17
academic_structure_academicyear                    |            0.11
django_celery_beat_periodictask                    |            0.09
delivery_note_processor_deliverynote               |            0.09
auth_permission                                    |            0.08
academic_structure_degree                          |            0.08
django_session                                     |            0.08
academic_chat_pendingenrollment                    |            0.08
assessment_useranswer                              |            0.08
messaging_directmessage                            |            0.08
assessment_assessment                              |            0.06
webpush_pushinformation                            |            0.06
users_userprofile_blocked_users                    |            0.05
users_customuser_user_permissions                  |            0.05
favorites_prototype_testfolder                     |            0.05
feedback_feedbackreport                            |            0.05
messaging_directchatsession                        |            0.05
messaging_pushendpoint                             |            0.05
users_customuser_groups                            |            0.05
academic_chat_academicchatlink_enrolled_students   |            0.05
messaging_sharedcontent                            |            0.05
messaging_usersubscription                         |            0.05
orchestrator_apikey                                |            0.05
users_customuser                                   |            0.05
users_userprofile_favorite_content                 |            0.05
content_automation_contentrequest_requesters       |            0.05
academic_chat_academicchatmessage                  |            0.05
contents_annotation                                |            0.05
chat_chatmessage                                   |            0.05
chat_roommembership                                |            0.05
academic_structure_branch                          |            0.05
delivery_note_processor_vehicle                    |            0.05
auth_group_permissions                             |            0.05
contents_favoritefolder                            |            0.05
contents_freecontentsubcategory                    |            0.05
academic_structure_university                      |            0.05
contents_favoritefolder_materials                  |            0.05
contents_freecontentmastercategory                 |            0.05
orchestrator_contentrequest                        |            0.03
content_automation_contentrequest                  |            0.03
users_archivedkey                                  |            0.03
portfolio_shortmessage                             |            0.03
portfolio_userlink                                 |            0.03
anuncios_anuncio                                   |            0.03
contents_userstudynavigation                       |            0.03
django_site                                        |            0.03
django_content_type                                |            0.03
django_celery_beat_solarschedule                   |            0.03
webpush_group                                      |            0.03
users_userprofile                                  |            0.02
assessment_assessmentsettings                      |            0.02
django_celery_beat_crontabschedule                 |            0.02
webpush_subscriptioninfo                           |            0.02
orchestrator_freecontentrequest                    |            0.02
orchestrator_contentrequest_requesters             |            0.02
content_automation_freecontentrequest              |            0.02
messaging_browser                                  |            0.02
global_settings_maintenancesettings                |            0.02
django_migrations                                  |            0.02
django_celery_beat_periodictasks                   |            0.02
django_celery_beat_clockedschedule                 |            0.02
django_celery_beat_intervalschedule                |            0.02
----------------------------------------------------------------------
TOTAL                                              |        34586.48 MB
